endTime,artistName,trackName,msPlayed;
2020-09-26 19:56,Madison Beer,Baby,207734;
2020-09-26 19:59,Harry Styles,Adore You,207133;
2020-09-26 20:02,Jeremy Zucker,always i'll care,146160;
2020-09-26 20:05,Boy In Space,Cold,203538;
2020-09-26 20:09,Lauv,Feelings,189906;
2020-09-26 20:12,Noak Hellsing,Lost,169666;
2020-09-26 20:15,Stephen Puth,Crying My Eyes Out,176539;
2020-09-26 20:18,Maximillian,Still Alive,192355;
2020-09-26 20:21,Ashe,Moral of the Story (feat. Niall Horan),198515;
2020-09-26 20:24,Lord Siva,Room For Love,152106;
2020-09-26 20:27,Alessia Cara,Ready,178693;
2020-09-26 20:30,Lauv,Tattoos Together,186613;
2020-09-26 20:34,JP Saxe,Hey Stupid I Love You,181000;
2020-09-26 20:37,Selena Gomez,Lose You To Love Me,206458;
2020-09-26 20:40,Tate McRae,all my friends are fake,185155;
2020-09-26 20:43,Pink Sweat$,17,160736;
2020-09-26 20:46,Sam Smith,My Oasis (feat. Burna Boy),179916;
2020-09-26 20:49,Ant Saunders,u know it's real,168926;
2020-09-26 20:52,Why Don't We,Chills,165596;
2020-09-26 20:56,Ritt Momney,Put Your Records On,210463;
2020-09-26 20:58,Selena Gomez,Boyfriend,161188;
2020-09-26 21:02,Griff,Good Stuff,193266;
2020-09-26 21:05,Charlie Puth,Hard On Yourself,160825;
2020-09-26 21:07,Alec Benjamin,Match In The Rain,159006;
2020-09-26 21:12,OneRepublic,Wild Life,267117;
2020-09-26 21:15,GRACEY,Empty Love (ft. Ruel),208191;
2020-09-26 21:18,LOVA,Black Converse,186732;
2020-09-26 21:22,Tate McRae,tear myself apart,168546;
2020-09-26 21:25,Fintan,Way Up,177449;
2020-09-26 21:28,Anne-Marie,To Be Young (feat. Doja Cat),194758;
2020-09-26 21:31,Boy In Space,Caroline,158571;
2020-09-26 21:36,Jeremy Zucker,julia,260866;
2020-09-26 21:40,Ellie Goulding,Slow Grenade,217493;
2020-09-26 21:43,Ruel,Real Thing,192326;
2020-09-26 21:46,Christian French,i think too much,202779;
